27,27
0,0,path
1,0,barrier
2,0,normal
3,0,barrier
4,0,normal
5,0,normal
6,0,normal
7,0,normal
8,0,normal
9,0,normal
10,0,normal
11,0,normal
12,0,normal
13,0,normal
14,0,barrier
15,0,visited
16,0,visited
17,0,visited
18,0,visited
19,0,visited
20,0,visited
21,0,visited
22,0,visited
23,0,visited
24,0,barrier
25,0,visited
26,0,visited
0,1,path
1,1,barrier
2,1,normal
3,1,barrier
4,1,barrier
5,1,barrier
6,1,barrier
7,1,barrier
8,1,barrier
9,1,barrier
10,1,barrier
11,1,barrier
12,1,barrier
13,1,normal
14,1,barrier
15,1,visited
16,1,barrier
17,1,barrier
18,1,barrier
19,1,barrier
20,1,visited
21,1,barrier
22,1,visited
23,1,visited
24,1,barrier
25,1,visited
26,1,barrier
0,2,path
1,2,barrier
2,2,normal
3,2,barrier
4,2,normal
5,2,normal
6,2,normal
7,2,normal
8,2,normal
9,2,normal
10,2,normal
11,2,normal
12,2,normal
13,2,normal
14,2,barrier
15,2,visited
16,2,barrier
17,2,visited
18,2,visited
19,2,barrier
20,2,visited
21,2,barrier
22,2,visited
23,2,visited
24,2,barrier
25,2,visited
26,2,visited
0,3,path
1,3,barrier
2,3,normal
3,3,barrier
4,3,normal
5,3,barrier
6,3,barrier
7,3,barrier
8,3,barrier
9,3,barrier
10,3,barrier
11,3,barrier
12,3,barrier
13,3,barrier
14,3,barrier
15,3,visited
16,3,barrier
17,3,barrier
18,3,visited
19,3,barrier
20,3,visited
21,3,barrier
22,3,visited
23,3,visited
24,3,barrier
25,3,visited
26,3,visited
0,4,path
1,4,barrier
2,4,normal
3,4,normal
4,4,normal
5,4,normal
6,4,normal
7,4,normal
8,4,normal
9,4,normal
10,4,normal
11,4,normal
12,4,normal
13,4,normal
14,4,barrier
15,4,visited
16,4,visited
17,4,visited
18,4,visited
19,4,barrier
20,4,visited
21,4,barrier
22,4,visited
23,4,visited
24,4,barrier
25,4,visited
26,4,barrier
0,5,path
1,5,barrier
2,5,normal
3,5,barrier
4,5,barrier
5,5,barrier
6,5,barrier
7,5,barrier
8,5,normal
9,5,barrier
10,5,normal
11,5,barrier
12,5,normal
13,5,barrier
14,5,barrier
15,5,barrier
16,5,barrier
17,5,barrier
18,5,barrier
19,5,barrier
20,5,visited
21,5,barrier
22,5,visited
23,5,visited
24,5,barrier
25,5,visited
26,5,visited
0,6,path
1,6,barrier
2,6,normal
3,6,barrier
4,6,normal
5,6,normal
6,6,normal
7,6,barrier
8,6,normal
9,6,barrier
10,6,normal
11,6,normal
12,6,normal
13,6,barrier
14,6,visited
15,6,visited
16,6,visited
17,6,visited
18,6,visited
19,6,visited
20,6,visited
21,6,visited
22,6,visited
23,6,visited
24,6,barrier
25,6,barrier
26,6,visited
0,7,path
1,7,barrier
2,7,normal
3,7,barrier
4,7,normal
5,7,barrier
6,7,normal
7,7,barrier
8,7,normal
9,7,barrier
10,7,normal
11,7,normal
12,7,normal
13,7,barrier
14,7,barrier
15,7,barrier
16,7,barrier
17,7,barrier
18,7,barrier
19,7,barrier
20,7,barrier
21,7,barrier
22,7,barrier
23,7,visited
24,7,barrier
