100,100
0,0,normal
1,0,normal
2,0,normal
3,0,normal
4,0,normal
5,0,normal
6,0,normal
7,0,normal
8,0,normal
9,0,normal
10,0,normal
11,0,normal
12,0,normal
13,0,normal
14,0,normal
15,0,normal
16,0,normal
17,0,normal
18,0,normal
19,0,normal
20,0,normal
21,0,normal
22,0,normal
23,0,normal
24,0,normal
25,0,normal
26,0,normal
27,0,normal
28,0,normal
29,0,normal
30,0,normal
31,0,normal
32,0,normal
33,0,normal
34,0,normal
35,0,normal
36,0,normal
37,0,normal
38,0,normal
39,0,normal
40,0,normal
41,0,normal
42,0,normal
43,0,normal
44,0,normal
45,0,normal
46,0,normal
47,0,normal
48,0,normal
49,0,normal
50,0,normal
51,0,normal
52,0,normal
53,0,normal
54,0,normal
55,0,normal
56,0,normal
57,0,normal
58,0,normal
59,0,normal
60,0,normal
61,0,normal
62,0,normal
63,0,normal
64,0,normal
65,0,normal
66,0,normal
67,0,normal
68,0,normal
69,0,normal
70,0,normal
71,0,normal
72,0,normal
73,0,normal
74,0,normal
75,0,normal
76,0,normal
77,0,normal
78,0,normal
79,0,normal
80,0,normal
81,0,normal
82,0,normal
83,0,normal
84,0,normal
85,0,normal
86,0,normal
87,0,normal
88,0,normal
89,0,normal
90,0,normal
91,0,normal
92,0,normal
93,0,normal
94,0,normal
95,0,normal
96,0,normal
97,0,normal
98,0,normal
99,0,normal
0,1,normal
1,1,barrier
2,1,normal
3,1,normal
4,1,normal
5,1,normal
6,1,normal
7,1,normal
8,1,normal
9,1,normal
10,1,normal
11,1,normal
12,1,normal
13,1,normal
14,1,normal
15,1,normal
16,1,normal
17,1,normal
18,1,normal
19,1,normal
20,1,normal
21,1,normal
22,1,normal
23,1,normal
24,1,normal
25,1,normal
26,1,normal
27,1,normal
28,1,normal
29,1,normal
30,1,normal
31,1,normal
32,1,normal
33,1,normal
34,1,normal
35,1,normal
36,1,normal
37,1,normal
38,1,normal
39,1,normal
40,1,normal
41,1,normal
42,1,normal
43,1,normal
44,1,normal
45,1,normal
46,1,normal
47,1,normal
48,1,normal
49,1,normal
50,1,normal
51,1,normal
52,1,normal
53,1,normal
54,1,normal
55,1,normal
56,1,normal
57,1,normal
58,1,normal
59,1,normal
60,1,normal
61,1,normal
62,1,normal
63,1,normal
64,1,normal
65,1,normal
66,1,normal
67,1,normal
68,1,normal
69,1,normal
70,1,normal
71,1,normal
72,1,normal
73,1,normal
74,1,normal
75,1,normal
76,1,normal
77,1,normal
78,1,normal
79,1,normal
80,1,normal
81,1,normal
82,1,normal
83,1,normal
84,1,normal
85,1,normal
86,1,normal
87,1,normal
88,1,normal
89,1,normal
90,1,normal
91,1,normal
92,1,normal
93,1,normal
94,1,normal
95,1,normal
96,1,normal
97,1,normal
98,1,normal
99,1,normal
0,2,normal
1,2,normal
2,2,normal
3,2,normal
4,2,normal
5,2,normal
6,2,normal
7,2,normal
8,2,normal
9,2,normal
10,2,normal
11,2,normal
12,2,normal
13,2,normal
14,2,normal
15,2,normal
16,2,normal
17,2,normal
18,2,normal
19,2,normal
20,2,normal
21,2,normal
22,2,normal
23,2,normal
24,2,normal
25,2,normal
26,2,normal
27,2,normal
28,2,normal
29,2,normal
30,2,normal
31,2,normal
32,2,normal
33,2,normal
34,2,normal
35,2,normal
36,2,normal
37,2,normal
38,2,normal
39,2,normal
40,2,normal
41,2,normal
42,2,normal
43,2,normal
44,2,normal
45,2,normal
46,2,normal
47,2,normal
48,2,normal
49,2,normal
50,2,normal
51,2,normal
52,2,normal
53,2,normal
54,2,normal
55,2,normal
56,2,normal
57,2,normal
58,2,normal
59,2,normal
60,2,normal
61,2,normal
62,2,normal
63,2,normal
64,2,normal
65,2,normal
66,2,normal
67,2,normal
68,2,normal
69,2,normal
70,2,normal
71,2,normal
72,2,normal
73,2,normal
74,2,normal
75,2,normal
76,2,normal
77,2,normal
78,2,normal
79,2,normal
80,2,normal
81,2,normal
82,2,normal
83,2,normal
84,2,normal
85,2,normal
86,2,normal
87,2,normal
88,2,normal
89,2,normal
90,2,normal
91,2,normal
92,2,normal
93,2,normal
94,2,normal
95,2,normal
96,2,normal
97,2,normal
98,2,normal
99,2,normal
0,3,normal
1,3,normal
2,3,normal
3,3,normal
4,3,normal
5,3,normal
6,3,normal
7,3,normal
8,3,normal
9,3,normal
10,3,normal
11,3,normal
12,3,normal
13,3,normal
14,3,normal
15,3,normal
16,3,normal
17,3,normal
18,3,normal
19,3,normal
20,3,normal
21,3,normal
22,3,normal
23,3,normal
24,3,normal
25,3,normal
26,3,normal
27,3,normal
28,3,normal
29,3,normal
30,3,normal
31,3,normal
32,3,normal
33,3,normal
34,3,normal
35,3,normal
36,3,normal
37,3,normal
38,3,normal
39,3,normal
40,3,normal
41,3,normal
42,3,normal
43,3,normal
44,3,normal
45,3,normal
46,3,normal
47,3,normal
48,3,normal
49,3,normal
50,3,normal
51,3,normal
52,3,normal
53,3,normal
54,3,normal
55,3,normal
56,3,normal
57,3,normal
58,3,normal
59,3,normal
60,3,normal
61,3,normal
62,3,normal
63,3,normal
64,3,normal
65,3,normal
66,3,normal
67,3,normal
68,3,normal
69,3,normal
70,3,normal
71,3,normal
72,3,normal
73,3,normal
74,3,normal
75,3,normal
76,3,normal
77,3,normal
78,3,normal
79,3,normal
80,3,normal
81,3,normal
82,3,normal
83,3,normal
84,3,normal
